post_id,text,label,date,likes,shares
0,Feeling grateful for everything in my life 🙂 #peace,0,2026-04-03,73,8
1,I feel empty even when I'm around people 💙 #happy,1,2026-03-24,23,2
2,Feeling grateful for everything in my life 😊 #wellbeing,0,2026-04-14,45,8
3,Had a really productive and positive day today 🙂 #mentalhealth,0,2026-03-17,60,9
4,Spent quality time with friends and laughed a lot 💙 #life,0,2026-04-02,65,7
5,Feeling calm and mentally refreshed 💙 #wellbeing,0,2026-04-26,46,12
6,I feel empty even when I'm around people  #peace,1,2026-01-21,20,5
7,I feel completely overwhelmed and exhausted lately 🙏 #wellbeing,1,2026-01-14,15,9
8,Life has been peaceful and balanced lately 💔 #happy,0,2026-03-25,79,5
9,I feel empty even when I'm around people ... #mentalhealth,1,2026-01-08,37,1
10,Feeling grateful for everything in my life !!! #mentalhealth,0,2026-01-06,68,3
11,Life has been peaceful and balanced lately ... #peace,0,2026-01-18,65,17
12,I feel completely overwhelmed and exhausted lately  #mentalhealth,1,2026-03-13,36,16
13,I feel like I'm falling apart mentally 😊 #peace,1,2026-03-26,2,3
14,My mind won't stop racing at night ... #stress,1,2026-01-26,26,7
15,Feeling grateful for everything in my life 🙂 #stress,0,2026-01-29,74,17
16,Nothing feels meaningful anymore 😊 #stress,1,2026-02-02,35,6
17,My anxiety is getting worse every day !!! #peace,1,2026-01-28,29,9
18,Just finished a great workout session ... #happy,0,2026-02-17,96,5
19,I struggle to get out of bed these days ... #stress,1,2026-02-13,37,7
20,Feeling motivated to achieve my goals 😊 #happy,0,2026-04-11,36,16
21,Feeling calm and mentally refreshed 💙 #happy,0,2026-01-27,0,16
22,Just finished a great workout session !!! #peace,0,2026-03-18,63,11
23,Feeling calm and mentally refreshed 💙 #anxiety,0,2026-04-06,40,14
24,I feel completely overwhelmed and exhausted lately 💙 #life,1,2026-01-15,13,8
25,Life has been peaceful and balanced lately !!! #peace,0,2026-02-28,77,14
26,My anxiety is getting worse every day 💙 #anxiety,1,2026-03-03,38,7
27,I feel empty even when I'm around people  #wellbeing,1,2026-02-13,39,5
28,Just finished a great workout session 🙏 #peace,0,2026-04-29,52,16
29,Enjoyed a nice walk and fresh air 💙 #peace,0,2026-01-27,91,10
30,My mind won't stop racing at night !!! #wellbeing,1,2026-04-13,26,1
31,Life has been peaceful and balanced lately 💙 #happy,0,2026-04-07,51,7
32,I feel hopeless about the future  #mentalhealth,1,2026-04-28,29,0
